date,accountTransaction,BakingRewards,BlockReward,FinalizationRewards,Mint
2021-06-09,44,15,5635,4778,5635
2021-06-10,0,24,8621,7354,8621
2021-06-11,0,24,8532,7241,8532
2021-06-12,0,24,8554,7212,8554
2021-06-13,0,24,8437,7126,8437
2021-06-14,0,24,8515,7185,8515
2021-06-15,0,24,8600,7225,8600
2021-06-16,0,24,8329,7049,8329
2021-06-17,4,24,8627,7302,8627
2021-06-18,0,24,8624,7281,8624
2021-06-19,0,24,8478,7077,8478
2021-06-20,0,24,8594,7199,8594
2021-06-21,0,24,8555,7220,8555
2021-06-22,0,24,8670,7251,8670
2021-06-23,0,24,8523,7272,8523
2021-06-24,0,24,8677,7345,8677
2021-06-25,0,24,8562,7248,8562
2021-06-26,0,24,8440,7151,8440
2021-06-27,0,24,8601,7306,8601
2021-06-28,0,24,8463,7068,8463
2021-06-29,0,24,8496,7205,8496
2021-06-30,0,24,8591,7247,8591
2021-07-01,0,24,8378,7034,8378
2021-07-02,0,24,8532,7203,8532
2021-07-03,0,24,8516,7231,8516
2021-07-04,0,24,8441,7152,8441
2021-07-05,4,24,8494,7184,8494
2021-07-06,4,24,8595,7185,8595
2021-07-07,17,24,8580,7216,8580
2021-07-08,19,24,8490,7218,8490
2021-07-09,6,24,8407,7100,8407
2021-07-10,0,24,8635,7228,8635
2021-07-11,0,24,8608,7235,8608
2021-07-12,0,24,8583,7262,8583
2021-07-13,0,24,8595,7249,8595
2021-07-14,0,24,8524,7240,8524
2021-07-15,0,24,8689,7306,8689
2021-07-16,16,24,8480,7117,8480
2021-07-17,0,24,8589,7194,8589
2021-07-18,0,24,8569,7207,8569
2021-07-19,2,24,8548,7229,8548
2021-07-20,0,24,8636,7289,8636
2021-07-21,0,24,8559,7182,8559
2021-07-22,0,24,8398,7098,8398
2021-07-23,0,24,8398,7097,8398
2021-07-24,0,24,8665,7181,8665
2021-07-25,0,24,8596,7220,8596
2021-07-26,0,24,8758,7368,8758
2021-07-27,0,24,8591,7222,8591
2021-07-28,0,24,8457,7113,8457
2021-07-29,0,24,8523,7170,8523
2021-07-30,0,24,8573,7183,8573
2021-07-31,0,24,8514,7168,8514
2021-08-01,0,24,8527,7166,8527
2021-08-02,4,24,8748,7303,8748
2021-08-03,2,24,8436,7105,8436
2021-08-04,0,24,8442,7123,8442
2021-08-05,0,24,8647,7259,8647
2021-08-06,0,24,8592,7254,8592
2021-08-07,0,24,8599,7248,8599
2021-08-08,0,24,8579,7224,8579
2021-08-09,0,24,8536,7198,8536
2021-08-10,0,24,8364,7014,8364
2021-08-11,0,24,8631,7263,8631
2021-08-12,2,24,8413,7101,8413
2021-08-13,0,24,8526,7201,8526
2021-08-14,0,24,8467,7159,8467
2021-08-15,0,24,8533,7085,8533
2021-08-16,1,24,8568,7188,8568
2021-08-17,2,24,8525,7170,8525
2021-08-18,3,24,8567,7321,8567
2021-08-19,0,24,8516,7184,8516
2021-08-20,0,24,8544,7200,8544
2021-08-21,0,24,8510,7230,8510
2021-08-22,0,24,8629,7198,8629
2021-08-23,0,24,8410,7056,8410
2021-08-24,0,24,8501,7202,8501
2021-08-25,0,24,8549,7189,8549
2021-08-26,0,24,8647,7239,8647
2021-08-27,0,24,8580,7238,8580
2021-08-28,0,24,8388,7059,8388
2021-08-29,0,24,8563,7125,8563
2021-08-30,0,24,8368,7109,8368
2021-08-31,4,24,8518,7121,8518
2021-09-01,0,24,8501,7188,8501
2021-09-02,6,24,8374,7059,8374
2021-09-03,0,24,8467,7097,8467
2021-09-04,0,24,8591,7215,8591
2021-09-05,0,24,8609,7243,8609
2021-09-06,3,24,8503,7146,8503
2021-09-07,6,24,8660,7323,8660
2021-09-08,28,24,8655,7314,8655
2021-09-09,0,24,8516,7141,8516
2021-09-10,2,24,8640,7381,8640
2021-09-11,0,24,8690,7313,8690
2021-09-12,2,24,8555,7223,8555
2021-09-13,0,24,8437,7104,8437
2021-09-14,0,24,8559,7268,8559
2021-09-15,0,24,8552,7171,8552
2021-09-16,2,24,8535,7080,8535
2021-09-17,0,24,8512,7113,8512
2021-09-18,0,24,8486,7098,8486
2021-09-19,0,24,8574,7215,8574
2021-09-20,3,24,8583,7167,8583
2021-09-21,2,24,8560,7167,8560
2021-09-22,0,24,8685,7304,8685
2021-09-23,0,24,8607,7242,8607
2021-09-24,0,24,8424,7054,8424
2021-09-25,0,24,8554,7223,8554
2021-09-26,0,24,8490,7167,8490
2021-09-27,0,24,8544,7224,8544
2021-09-28,0,24,8548,7170,8548
2021-09-29,0,24,8475,7066,8475
2021-09-30,0,24,8497,7088,8497
2021-10-01,0,24,8543,7273,8543
2021-10-02,0,24,8560,7240,8560
2021-10-03,0,24,8510,7184,8510
2021-10-04,0,24,8659,7318,8659
2021-10-05,0,24,8410,7174,8410
2021-10-06,0,24,8348,7054,8348
2021-10-07,16,24,8571,7187,8571
2021-10-08,1,24,8702,7381,8702
2021-10-09,0,24,8612,7238,8612
2021-10-10,0,24,8372,7051,8372
2021-10-11,0,24,8561,7272,8561
2021-10-12,0,24,8524,7430,8524
2021-10-13,0,24,8627,7301,8627
2021-10-14,0,24,8578,7316,8578
2021-10-15,4,24,8601,7336,8601
2021-10-16,0,24,8541,7287,8541
2021-10-17,0,24,8621,7355,8621
2021-10-18,0,24,8571,7317,8571
2021-10-19,0,24,8530,7322,8530
2021-10-20,4,24,8448,7281,8448
2021-10-21,1,24,8493,7235,8493
2021-10-22,2,24,8485,7289,8485
2021-10-23,0,24,8595,7258,8595
2021-10-24,0,24,8429,7169,8429
2021-10-25,0,24,8603,7411,8603
2021-10-26,0,24,8606,7344,8606
2021-10-27,0,24,8385,7202,8385
2021-10-28,0,24,8533,7216,8533
2021-10-29,2,24,8530,7354,8530
2021-10-30,0,24,8607,7415,8607
2021-10-31,0,25,8838,7656,8838
2021-11-01,2,24,8487,7342,8487
2021-11-02,2,24,8622,7454,8622
2021-11-03,0,24,8500,7265,8500
2021-11-04,0,24,8641,7443,8641
2021-11-05,2,24,8483,7274,8483
2021-11-06,2,24,8554,7265,8554
2021-11-07,0,24,8690,7480,8690
2021-11-08,0,24,8525,7342,8525
2021-11-09,15,24,8558,7286,8558
2021-11-10,4,24,8542,7343,8542
2021-11-11,2,24,8568,7260,8568
2021-11-12,0,24,8611,7418,8611
2021-11-13,0,24,8723,7442,8723
2021-11-14,0,24,8584,7355,8584
2021-11-15,22,24,8543,7281,8543
2021-11-16,1689,24,8566,7243,8566
2021-11-17,219,24,8718,7433,8718
2021-11-18,896,24,8645,7403,8645
2021-11-19,5470,24,8545,7276,8545
2021-11-20,285,24,8509,7323,8509
2021-11-21,302,24,8696,7504,8696
2021-11-22,492,24,8475,7299,8475
2021-11-23,609,24,8794,7578,8794
2021-11-24,666,24,8478,7217,8478
2021-11-25,444,24,8643,7399,8643
2021-11-26,329,24,8621,7351,8621
2021-11-27,251,24,8416,7251,8416
2021-11-28,195,24,8668,7411,8668
2021-11-29,196,24,8416,7255,8416
2021-11-30,285,24,8657,7406,8657
2021-12-01,191,24,8613,7394,8613
2021-12-02,193,24,8623,7374,8623
2021-12-03,134,24,8557,7339,8557
2021-12-04,150,24,8630,7356,8630
2021-12-05,160,24,8524,7292,8524
2021-12-06,377,24,8520,7269,8520
2021-12-07,283,24,8693,7389,8693
2021-12-08,317,24,8646,7287,8646
2021-12-09,203,24,8658,7342,8658
2021-12-10,207,24,8473,7217,8473
2021-12-11,317,24,8505,7264,8505
2021-12-12,312,24,8609,7412,8609
2021-12-13,699,24,8652,7440,8652
2021-12-14,894,24,8486,7220,8486
2021-12-15,641,24,8588,7295,8588
2021-12-16,305,24,8428,7225,8428
2021-12-17,559,24,8494,7302,8494
2021-12-18,170,24,8587,7294,8587
2021-12-19,295,24,8514,7308,8514
2021-12-20,302,24,8693,7380,8693
2021-12-21,451,24,8542,7304,8542
2021-12-22,580,24,8532,7256,8532
2021-12-23,614,24,8453,7206,8453
2021-12-24,334,24,8568,7311,8568
2021-12-25,200,24,8602,7328,8602
2021-12-26,139,24,8628,7348,8628
2021-12-27,207,24,8692,7445,8692
2021-12-28,671,24,8515,7337,8515
2021-12-29,447,24,8555,7323,8555
2021-12-30,422,24,8668,7396,8668
2021-12-31,5205,24,8698,7475,8698
2022-01-01,126,24,8517,7325,8517
2022-01-02,91,24,8448,7228,8448
2022-01-03,277,24,8530,7315,8530
2022-01-04,382,24,8517,7320,8517
2022-01-05,778,24,8570,7336,8570
2022-01-06,1301,24,8549,7355,8549
2022-01-07,450,24,8497,7309,8497
2022-01-08,518,24,8554,7334,8554
2022-01-09,1194,24,8581,7411,8581
2022-01-10,2577,24,8546,7371,8546
2022-01-11,956,23,8380,7242,8380
2022-01-12,702,24,8456,7232,8456
2022-01-13,496,24,8510,7272,8510
2022-01-14,65553,24,8615,7367,8615
2022-01-15,252,24,8496,7272,8496
2022-01-16,83769,24,8397,7153,8397
2022-01-17,414,24,8560,7360,8560
2022-01-18,1122,24,8449,7224,8449
2022-01-19,486,24,8529,7305,8529
2022-01-20,1837,24,8550,7325,8550
2022-01-21,289,24,8467,7303,8467
2022-01-22,126,24,8334,7138,8334
2022-01-23,559,24,8457,7249,8457
2022-01-24,367,24,8480,7252,8480
2022-01-25,419,24,8543,7363,8543
2022-01-26,578,24,8600,7371,8600
2022-01-27,746,24,8412,7270,8412
2022-01-28,853,24,8533,7323,8533
2022-01-29,207,24,8413,7258,8413
2022-01-30,49430,24,8443,7335,8443
2022-01-31,770,24,8348,7202,8348
2022-02-01,730,24,8339,7256,8339
2022-02-02,590,24,8294,7240,8294
2022-02-03,63001,24,8500,7359,8500
2022-02-04,972,24,8612,7516,8612
2022-02-05,1175,24,8412,7375,8412
2022-02-06,681,24,8624,7427,8624
2022-02-07,705,24,8663,7491,8663
2022-02-08,6448,24,8443,7400,8443
2022-02-09,8166,24,8442,7365,8442
2022-02-10,9337,24,8591,7504,8591
2022-02-11,811,24,8576,7476,8576
2022-02-12,1106,24,8632,7558,8632
2022-02-13,519,24,8550,7533,8550
2022-02-14,692,24,8468,7427,8468
2022-02-15,597,24,8434,7484,8434
2022-02-16,524,24,8535,7479,8535
2022-02-17,743,24,8480,7463,8480
2022-02-18,776,24,8572,7534,8572
2022-02-19,446,24,8638,7532,8638
2022-02-20,492,24,8542,7565,8542
2022-02-21,281,24,8592,7546,8592
2022-02-22,3605,24,8429,7505,8429
2022-02-23,806,24,8368,7379,8368
2022-02-24,255,24,8495,7437,8495
2022-02-25,176,24,8552,7538,8552
2022-02-26,258,24,8459,7508,8459
2022-02-27,198,24,8456,7419,8456
2022-02-28,188,24,8712,7700,8712
2022-03-01,347,24,8415,7421,8415
2022-03-02,396,24,8485,7515,8485
2022-03-03,177,24,8382,7435,8382
2022-03-04,180,24,8555,7629,8555
2022-03-05,322,24,8423,7427,8423
2022-03-06,296,24,8540,7565,8540
2022-03-07,240,24,8442,7415,8442
2022-03-08,474,24,8543,7505,8543
2022-03-09,339,24,8337,7329,8337
2022-03-10,444,24,8551,7525,8551
2022-03-11,136,24,8460,7423,8460
2022-03-12,129,24,8453,7498,8453
2022-03-13,150,24,8594,7526,8594
2022-03-14,187,24,8564,7589,8564
2022-03-15,272,24,8479,7510,8479
2022-03-16,163,24,8539,7563,8539
2022-03-17,225,24,8620,7633,8620
2022-03-18,443,24,8452,7407,8452
2022-03-19,179,24,8484,7506,8484
2022-03-20,105,24,8562,7544,8562
2022-03-21,225,24,8635,7635,8635
2022-03-22,247,24,8478,7503,8478
2022-03-23,262,24,8520,7471,8520
2022-03-24,141,24,8510,7529,8510
2022-03-25,162,24,8554,7558,8554
2022-03-26,112,24,8513,7546,8513
2022-03-27,141,23,8135,7195,8135
2022-03-28,228,24,8722,7656,8722
2022-03-29,223,24,8552,7526,8552
2022-03-30,250,24,8421,7457,8421
2022-03-31,418,24,8571,7561,8571
